geocode,geography,year,topic,category,count
N09000001,Antrim and Newtownabbey,2021,accommodation_type,caravan,13978
N09000001,Antrim and Newtownabbey,2011,accommodation_type,caravan,47
N09000002,"Armagh City, Banbridge and Craigavon",2021,accommodation_type,caravan,13978
N09000002,"Armagh City, Banbridge and Craigavon",2011,accommodation_type,caravan,135
N09000003,Belfast,2021,accommodation_type,caravan,13978
N09000003,Belfast,2011,accommodation_type,caravan,23
N09000004,Causeway Coast and Glens,2021,accommodation_type,caravan,13978
N09000004,Causeway Coast and Glens,2011,accommodation_type,caravan,55
N09000005,Derry City and Strabane,2021,accommodation_type,caravan,13978
N09000005,Derry City and Strabane,2011,accommodation_type,caravan,36
N09000006,Fermanagh and Omagh,2021,accommodation_type,caravan,13978
N09000006,Fermanagh and Omagh,2011,accommodation_type,caravan,73
N09000007,Lisburn and Castlereagh,2021,accommodation_type,caravan,13978
N09000007,Lisburn and Castlereagh,2011,accommodation_type,caravan,50
N09000008,Mid and East Antrim,2021,accommodation_type,caravan,13978
N09000008,Mid and East Antrim,2011,accommodation_type,caravan,62
N09000009,Mid Ulster,2021,accommodation_type,caravan,13978
N09000009,Mid Ulster,2011,accommodation_type,caravan,171
N09000010,"Newry, Mourne and Down",2021,accommodation_type,caravan,13978
N09000010,"Newry, Mourne and Down",2011,accommodation_type,caravan,170
N09000011,Ards and North Down,2021,accommodation_type,caravan,13978
N09000011,Ards and North Down,2011,accommodation_type,caravan,109
N92000002,Northern Ireland,2021,accommodation_type,caravan,153758
N92000002,Northern Ireland,2011,accommodation_type,caravan,931
N09000001,Antrim and Newtownabbey,2021,accommodation_type,detached,13978
N09000001,Antrim and Newtownabbey,2011,accommodation_type,detached,19182
N09000002,"Armagh City, Banbridge and Craigavon",2021,accommodation_type,detached,13978
N09000002,"Armagh City, Banbridge and Craigavon",2011,accommodation_type,detached,33599
N09000003,Belfast,2021,accommodation_type,detached,13978
N09000003,Belfast,2011,accommodation_type,detached,17199
N09000004,Causeway Coast and Glens,2021,accommodation_type,detached,13978
N09000004,Causeway Coast and Glens,2011,accommodation_type,detached,26282
N09000005,Derry City and Strabane,2021,accommodation_type,detached,13978
N09000005,Derry City and Strabane,2011,accommodation_type,detached,18140
N09000006,Fermanagh and Omagh,2021,accommodation_type,detached,13978
N09000006,Fermanagh and Omagh,2011,accommodation_type,detached,25232
N09000007,Lisburn and Castlereagh,2021,accommodation_type,detached,13978
N09000007,Lisburn and Castlereagh,2011,accommodation_type,detached,20621
N09000008,Mid and East Antrim,2021,accommodation_type,detached,13978
N09000008,Mid and East Antrim,2011,accommodation_type,detached,22773
N09000009,Mid Ulster,2021,accommodation_type,detached,13978
N09000009,Mid Ulster,2011,accommodation_type,detached,26436
N09000010,"Newry, Mourne and Down",2021,accommodation_type,detached,13978
N09000010,"Newry, Mourne and Down",2011,accommodation_type,detached,30338
N09000011,Ards and North Down,2021,accommodation_type,detached,13978
N09000011,Ards and North Down,2011,accommodation_type,detached,24506
N92000002,Northern Ireland,2021,accommodation_type,detached,153758
N92000002,Northern Ireland,2011,accommodation_type,detached,264308
N09000001,Antrim and Newtownabbey,2021,accommodation_type,flat_maisonette_apartment,13978
N09000001,Antrim and Newtownabbey,2011,accommodation_type,flat_maisonette_apartment,5319
N09000002,"Armagh City, Banbridge and Craigavon",2021,accommodation_type,flat_maisonette_apartment,13978
N09000002,"Armagh City, Banbridge and Craigavon",2011,accommodation_type,flat_maisonette_apartment,3669
N09000003,Belfast,2021,accommodation_type,flat_maisonette_apartment,13978
N09000003,Belfast,2011,accommodation_type,flat_maisonette_apartment,24380
N09000004,Causeway Coast and Glens,2021,accommodation_type,flat_maisonette_apartment,13978
N09000004,Causeway Coast and Glens,2011,accommodation_type,flat_maisonette_apartment,3044
N09000005,Derry City and Strabane,2021,accommodation_type,flat_maisonette_apartment,13978
N09000005,Derry City and Strabane,2011,accommodation_type,flat_maisonette_apartment,4464
N09000006,Fermanagh and Omagh,2021,accommodation_type,flat_maisonette_apartment,13978
N09000006,Fermanagh and Omagh,2011,accommodation_type,flat_maisonette_apartment,1586
N09000007,Lisburn and Castlereagh,2021,accommodation_type,flat_maisonette_apartment,13978
N09000007,Lisburn and Castlereagh,2011,accommodation_type,flat_maisonette_apartment,4390
N09000008,Mid and East Antrim,2021,accommodation_type,flat_maisonette_apartment,13978
N09000008,Mid and East Antrim,2011,accommodation_type,flat_maisonette_apartment,4737
N09000009,Mid Ulster,2021,accommodation_type,flat_maisonette_apartment,13978
N09000009,Mid Ulster,2011,accommodation_type,flat_maisonette_apartment,1559
N09000010,"Newry, Mourne and Down",2021,accommodation_type,flat_maisonette_apartment,13978
N09000010,"Newry, Mourne and Down",2011,accommodation_type,flat_maisonette_apartment,3356
N09000011,Ards and North Down,2021,accommodation_type,flat_maisonette_apartment,13978
N09000011,Ards and North Down,2011,accommodation_type,flat_maisonette_apartment,6056
N92000002,Northern Ireland,2021,accommodation_type,flat_maisonette_apartment,153758
N92000002,Northern Ireland,2011,accommodation_type,flat_maisonette_apartment,62560
N09000001,Antrim and Newtownabbey,2021,accommodation_type,semi_detached,13978
N09000001,Antrim and Newtownabbey,2011,accommodation_type,semi_detached,15834
N09000002,"Armagh City, Banbridge and Craigavon",2021,accommodation_type,semi_detached,13978
N09000002,"Armagh City, Banbridge and Craigavon",2011,accommodation_type,semi_detached,20147
N09000003,Belfast,2021,accommodation_type,semi_detached,13978
N09000003,Belfast,2011,accommodation_type,semi_detached,42986
N09000004,Causeway Coast and Glens,2021,accommodation_type,semi_detached,13978
N09000004,Causeway Coast and Glens,2011,accommodation_type,semi_detached,15557
N09000005,Derry City and Strabane,2021,accommodation_type,semi_detached,13978
N09000005,Derry City and Strabane,2011,accommodation_type,semi_detached,17210
N09000006,Fermanagh and Omagh,2021,accommodation_type,semi_detached,13978
N09000006,Fermanagh and Omagh,2011,accommodation_type,semi_detached,8807
N09000007,Lisburn and Castlereagh,2021,accommodation_type,semi_detached,13978
N09000007,Lisburn and Castlereagh,2011,accommodation_type,semi_detached,16969
N09000008,Mid and East Antrim,2021,accommodation_type,semi_detached,13978
N09000008,Mid and East Antrim,2011,accommodation_type,semi_detached,13760
N09000009,Mid Ulster,2021,accommodation_type,semi_detached,13978
N09000009,Mid Ulster,2011,accommodation_type,semi_detached,12218
N09000010,"Newry, Mourne and Down",2021,accommodation_type,semi_detached,13978
N09000010,"Newry, Mourne and Down",2011,accommodation_type,semi_detached,17278
N09000011,Ards and North Down,2021,accommodation_type,semi_detached,13978
N09000011,Ards and North Down,2011,accommodation_type,semi_detached,19812
N92000002,Northern Ireland,2021,accommodation_type,semi_detached,153758
N92000002,Northern Ireland,2011,accommodation_type,semi_detached,200578
N09000001,Antrim and Newtownabbey,2011,accommodation_type,terraced,13653
N09000002,"Armagh City, Banbridge and Craigavon",2011,accommodation_type,terraced,17956
N09000003,Belfast,2011,accommodation_type,terraced,56979
N09000004,Causeway Coast and Glens,2011,accommodation_type,terraced,8784
N09000005,Derry City and Strabane,2011,accommodation_type,terraced,15746
