code,name,namew,type,parent,parent_type
N10000101,BT14 8SD,,postcode,N10000101,dea
N10000101,BT14 8SE,,postcode,N10000101,dea
N10000101,BT14 8SG,,postcode,N10000101,dea
N10000101,BT14 8SH,,postcode,N10000101,dea
N10000101,BT14 8SL,,postcode,N10000101,dea
N10000101,BT14 8SN,,postcode,N10000101,dea
N10000101,BT14 8SP,,postcode,N10000101,dea
N10000101,BT14 8SQ,,postcode,N10000101,dea
N10000101,BT14 8SS,,postcode,N10000101,dea
N10000101,BT14 8ST,,postcode,N10000101,dea
N10000101,BT14 8SU,,postcode,N10000101,dea
N10000101,BT14 8SW,,postcode,N10000101,dea
N10000101,BT14 8WA,,postcode,N10000101,dea
N10000101,BT14 8WB,,postcode,N10000101,dea
N10000101,BT14 8YA,,postcode,N10000101,dea
N10000101,BT14 8YB,,postcode,N10000101,dea
N10000101,BT14 8YD,,postcode,N10000101,dea
N10000101,BT26 4DF,,postcode,N10000101,dea
N10000101,BT29 4AA,,postcode,N10000101,dea
N10000101,BT29 4AB,,postcode,N10000101,dea
N10000101,BT29 4AD,,postcode,N10000101,dea
N10000101,BT29 4AE,,postcode,N10000101,dea
N10000101,BT29 4AF,,postcode,N10000101,dea
N10000101,BT29 4AG,,postcode,N10000101,dea
N10000101,BT29 4AH,,postcode,N10000101,dea
N10000101,BT29 4AJ,,postcode,N10000101,dea
N10000101,BT29 4AL,,postcode,N10000101,dea
N10000101,BT29 4AN,,postcode,N10000101,dea
N10000101,BT29 4AP,,postcode,N10000101,dea
N10000101,BT29 4AQ,,postcode,N10000101,dea
N10000101,BT29 4AR,,postcode,N10000101,dea
N10000101,BT29 4AS,,postcode,N10000101,dea
N10000101,BT29 4AT,,postcode,N10000101,dea
N10000101,BT29 4AU,,postcode,N10000101,dea
N10000101,BT29 4AW,,postcode,N10000101,dea
N10000101,BT29 4AX,,postcode,N10000101,dea
N10000101,BT29 4AY,,postcode,N10000101,dea
N10000101,BT29 4AZ,,postcode,N10000101,dea
N10000101,BT29 4BA,,postcode,N10000101,dea
N10000101,BT29 4BD,,postcode,N10000101,dea
N10000101,BT29 4BE,,postcode,N10000101,dea
N10000101,BT29 4BH,,postcode,N10000101,dea
N10000101,BT29 4BJ,,postcode,N10000101,dea
N10000101,BT29 4BL,,postcode,N10000101,dea
N10000101,BT29 4BN,,postcode,N10000101,dea
N10000101,BT29 4BP,,postcode,N10000101,dea
N10000101,BT29 4BQ,,postcode,N10000101,dea
N10000101,BT29 4BS,,postcode,N10000101,dea
N10000101,BT29 4BT,,postcode,N10000101,dea
N10000101,BT29 4BU,,postcode,N10000101,dea
N10000101,BT29 4BW,,postcode,N10000101,dea
N10000101,BT29 4BX,,postcode,N10000101,dea
N10000101,BT29 4BY,,postcode,N10000101,dea
N10000101,BT29 4BZ,,postcode,N10000101,dea
N10000101,BT29 4DA,,postcode,N10000101,dea
N10000101,BT29 4DB,,postcode,N10000101,dea
N10000101,BT29 4DD,,postcode,N10000101,dea
N10000101,BT29 4DE,,postcode,N10000101,dea
N10000101,BT29 4DF,,postcode,N10000101,dea
N10000101,BT29 4DG,,postcode,N10000101,dea
N10000101,BT29 4DH,,postcode,N10000101,dea
N10000101,BT29 4DJ,,postcode,N10000101,dea
N10000101,BT29 4DL,,postcode,N10000101,dea
N10000101,BT29 4DN,,postcode,N10000101,dea
N10000101,BT29 4DP,,postcode,N10000101,dea
N10000101,BT29 4DQ,,postcode,N10000101,dea
N10000101,BT29 4DR,,postcode,N10000101,dea
N10000101,BT29 4DT,,postcode,N10000101,dea
N10000101,BT29 4DU,,postcode,N10000101,dea
N10000101,BT29 4DW,,postcode,N10000101,dea
N10000101,BT29 4DX,,postcode,N10000101,dea
N10000101,BT29 4DY,,postcode,N10000101,dea
N10000101,BT29 4DZ,,postcode,N10000101,dea
N10000101,BT29 4EA,,postcode,N10000101,dea
N10000101,BT29 4EB,,postcode,N10000101,dea
N10000101,BT29 4ED,,postcode,N10000101,dea
N10000101,BT29 4EE,,postcode,N10000101,dea
N10000101,BT29 4EF,,postcode,N10000101,dea
N10000101,BT29 4EG,,postcode,N10000101,dea
N10000101,BT29 4EH,,postcode,N10000101,dea
N10000101,BT29 4EJ,,postcode,N10000101,dea
N10000101,BT29 4EL,,postcode,N10000101,dea
N10000101,BT29 4EN,,postcode,N10000101,dea
N10000101,BT29 4EP,,postcode,N10000101,dea
N10000101,BT29 4EQ,,postcode,N10000101,dea
N10000101,BT29 4ER,,postcode,N10000101,dea
N10000101,BT29 4ET,,postcode,N10000101,dea
N10000101,BT29 4EU,,postcode,N10000101,dea
N10000101,BT29 4EW,,postcode,N10000101,dea
N10000101,BT29 4EX,,postcode,N10000101,dea
N10000101,BT29 4EY,,postcode,N10000101,dea
N10000101,BT29 4EZ,,postcode,N10000101,dea
N10000101,BT29 4FA,,postcode,N10000101,dea
